depth;Ed_380;Ed_443;Ed_490;Ed_555;RamsesPAR
65.30000305;0.0522547;0.186238406;0.190883832;0.012915625;81.52935468
66.40000153;0.04907231;0.176070872;0.180509921;0.011591299;76.82429984
67;0.047380495;0.173651094;0.178901501;0.010910816;75.60940918
68.30000305;0.043826684;0.159476896;0.163273157;0.009475872;69.11233679
69.59999847;0.041947061;0.155878348;0.160938953;0.009007318;67.60607775
70.59999847;0.03988847;0.151099716;0.157327844;0.008696966;65.68239332
71.5;0.03663822;0.136145885;0.139901742;0.007167823;58.6997017
72.69999695;0.035776914;0.136447948;0.141787238;0.007134599;58.97532955
73.69999695;0.034540214;0.135159152;0.142045595;0.007007314;58.58604938
74.5;0.032798443;0.128506058;0.134753797;0.00631858;55.51890899
75.80000305;0.031222156;0.123037414;0.129209988;0.00583769;53.09827896
76.80000305;0.028924373;0.114145625;0.119780117;0.005186791;49.17099179
77.59999847;0.028540728;0.1143164;0.120790617;0.005137094;49.32098636
78.80000305;0.027340366;0.11124013;0.118252639;0.00486794;48.02781987
79.90000153;0.025493641;0.104111451;0.110621478;0.004337214;44.84412513
80.5;0.024582376;0.100255753;0.106442109;0.004080394;43.15487014
81.40000153;0.023641565;0.097306322;0.103515651;0.003846495;41.86511917
82.5;0.022830835;0.095684048;0.102414297;0.003661888;41.17876154
83.09999847;0.02195613;0.091898219;0.098247603;0.003424276;39.50525162
83.90000153;0.020891255;0.087208181;0.093106836;0.00317322;37.45916456
84.80000305;0.020452364;0.086915783;0.093460001;0.003096354;37.37240131
85.5;0.019816224;0.085066713;0.091692958;0.002934817;36.56284068
86.5;0.019073592;0.083111299;0.090008197;0.002745431;35.70892468
87.30000305;0.018134649;0.079055217;0.085745742;0.002609631;33.99506121
87.90000153;0.017851846;0.078173298;0.084962532;0.002562892;33.6367016
88.90000153;0.017111089;0.075647844;0.082510549;0.002399147;32.55202379
89.90000153;0.016242189;0.072153999;0.078717665;0.002179564;31.00162027
90.40000153;0.015841621;0.070420327;0.076853083;0.002105337;30.26439396
91.19999695;0.01531954;0.068759553;0.075386708;0.002026694;29.57990225
92.19999695;0.014196719;0.063485867;0.069378065;0.001762484;27.247252
93;0.013929384;0.063447824;0.069998017;0.001783346;27.31916866
94.09999847;0.013011981;0.059628645;0.065896337;0.001601141;25.66283748
95;0.01214971;0.057081098;0.063650117;0.001472397;24.5936847
95.69999695;0.011953398;0.055356124;0.061601999;0.001456576;23.88226731
96.80000305;0.011314713;0.053466458;0.060020927;0.001387128;23.1206973
97.69999695;0.010475968;0.049776592;0.055972319;0.001232146;21.51421639
98.19999695;0.01006491;0.04840638;0.054615916;0.001155975;20.9209304
99.5;0.009475933;0.046405843;0.052731651;0.001087151;20.08408605
100.6999969;0.008817119;0.043691892;0.049870256;0.001003461;18.93288283
102.5;0.008056061;0.041106979;0.047460354;0.000915588;17.86259978
104;0.007263128;0.037590898;0.043554125;0.000802088;16.33523182
105.5999985;0.006641149;0.034749837;0.040360948;0.000700866;15.09574514
107.0999985;0.006044361;0.033044585;0.038944181;0.000640745;14.3950324
108.6999969;0.005593058;0.031176617;0.037009463;0.000591304;13.60750243
110.1999969;0.005104914;0.029265042;0.035014816;0.00053794;12.78702248
111.5999985;0.004690151;0.027527829;0.033078889;0.000480902;12.02036585
113;0.004288534;0.025844092;0.031241664;0.000436371;11.29257474
114.3000031;0.004024423;0.02482457;0.030195253;0.000412821;10.85802512
115.6999969;0.003755537;0.024124453;0.029691585;0.000398202;10.57635763
117.0999985;0.003352067;0.021817459;0.026795949;0.000340636;9.53775451
118.5;0.003127025;0.021076163;0.026027935;0.000322539;9.211255927
119.5999985;0.002894042;0.020032909;0.024822111;0.000296055;8.747332592
120.6999969;0.00270595;0.019400673;0.024213796;0.000277876;8.475385084
121.8000031;0.002527842;0.018461962;0.023092357;0.000257885;8.059480913
122.9000015;0.002346034;0.017621737;0.022128851;0.00023679;7.687169403
124.0999985;0.002199464;0.016784495;0.02109375;0.00021956;7.313698152
125.1999969;0.002067231;0.016221719;0.020516293;0.000209688;7.074592393
126.3000031;0.00189506;0.015138534;0.019131469;0.000187201;6.590098314
127.0999985;0.001822355;0.014837595;0.018856994;0.000185502;6.46744405
127.9000015;0.001720734;0.014258854;0.018168053;0.00017512;6.213604353
128.8000031;0.001626005;0.013634535;0.017390068;0.000165998;5.939655223
129.6999969;0.001522755;0.013021537;0.016670034;0.000154931;5.672314127
130.6000061;0.001411385;0.012400346;0.015937366;0.00014318;5.401733562
131.6999969;0.001348513;0.012138351;0.015735415;0.000139975;5.300409684
133;0.001208199;0.011168602;0.014530657;0.000123874;4.876145757
134.5;0.001097382;0.010631421;0.014029255;0.000116738;4.657995741
136.1000061;0.000972549;0.009805915;0.013033548;0.000105538;4.300192204
137.8999939;0.000831696;0.008742259;0.011726126;9.17E-05;3.840110849
139.6999969;0.000732098;0.008110124;0.011032656;8.39E-05;3.575130268
141.6000061;0.000640281;0.007504888;0.010352287;7.48E-05;3.318488568
143.1999969;0.000566416;0.006970861;0.009738175;6.78E-05;3.093327032
144.8999939;0.000501293;0.00639195;0.008996384;6.10E-05;2.840110775
146.3999939;0.000443239;0.005916134;0.008431451;5.65E-05;2.638562019
147.8999939;0.000393913;0.005459342;0.007841707;5.05E-05;2.439344387
149.3000031;0.000358989;0.005140436;0.007455903;4.86E-05;2.303705005
150.6000061;0.00032642;0.004843732;0.007077427;4.46E-05;2.175438945
151.8000031;0.00029711;0.00456021;0.006712637;4.19E-05;2.051752641
152.6000061;0.000276542;0.004376039;0.006477239;3.92E-05;1.971044854
153.8000031;0.000252687;0.004132931;0.006164571;3.64E-05;1.865725039
